ID;gender;age;Style;Category;Artist;Title;area;Year;url;Artist Info URL;;smile;smiledetailed;pitch;roll;yaw;eyes;eyesdetailed;mouth;mouthdetailed;happiness;neutral;sadness
737;Female;52;Post Renaissance Art;Rococo;Jean-Baptiste Greuze;The Milkmaid;North America;1780;https://use2-uploads8.wikiart.org/images/jean-baptiste-greuze/the-milkmaid-1780.jpg;https://www.wikiart.org/en/jean-baptiste-greuze/the-milkmaid-1780;https://www.wikiart.org/en/jean-baptiste-greuze;no;1.85;0.34767285;-1.711.342;13.458.755;open;99.963;closed;0;3.663;96.261;19
741;Female;22;Post Renaissance Art;Rococo;Maurice Quentin de La Tour;Portrait of Madame de Pompadour;South America;1748;https://use2-uploads1.wikiart.org/images/maurice-quentin-de-la-tour/portrait-of-madame-de-pompadour.jpg;https://www.wikiart.org/en/maurice-quentin-de-la-tour/portrait-of-madame-de-pompadour;https://www.wikiart.org/en/maurice-quentin-de-la-tour;no;822;-6.068.535;-9.167.225;42.626.762;open;99.999;closed;0;28.421;53.205;206
753;Female;26;Post Renaissance Art;Realism;George Catlin;"Sha-k&#243;-ka (mint), a Mandan girl";Europe;1832;https://use2-uploads7.wikiart.org/images/george-catlin/sha-k-ka-mint-a-mandan-girl-1832.jpg;https://www.wikiart.org/en/george-catlin/sha-k-ka-mint-a-mandan-girl-1832;https://www.wikiart.org/en/george-catlin;no;0.04;6.089.483;66.785.655;-20.515.696;open;99.031;closed;0;2.539;91.792;4.863
754;Female;32;Post Renaissance Art;Rococo;Antoine Watteau;Diana at her Bath;Europe;1715-1716;https://use2-uploads8.wikiart.org/images/antoine-watteau/diana-at-her-bath-1716.jpg;https://www.wikiart.org/en/antoine-watteau/diana-at-her-bath-1716;https://www.wikiart.org/en/antoine-watteau;no;12.507;20.463.055;2.466.766;19.827.297;closed;24.638;closed;0;261;5.905;72
758;Male;66;Post Renaissance Art;Rococo;Carl-Ludwig Johann Christineck;Portrait of Semen Ivanovich Mordvinov as Chevalier of the Order of St. Andrew;Europe;1771;https://use2-uploads1.wikiart.org/images/carl-ludwig-johann-christineck/portrait-of-semen-ivanovich-mordvinov-as-chevalier-of-the-order-of-st-andrew-1771.jpg;https://www.wikiart.org/en/carl-ludwig-johann-christineck/portrait-of-semen-ivanovich-mordvinov-as-chevalier-of-the-order-of-st-andrew-1771;https://www.wikiart.org/en/carl-ludwig-johann-christineck;no;2.832;4.520.572;28.729.582;11.804.332;open;99.999;closed;0;11.282;83.412;4.83
760;Female;37;Renaissance Art;Early Renaissance;Domenico Ghirlandaio;Portrait of Giovanna Tornabuoni;Africa;1485-1488;https://use2-uploads4.wikiart.org/images/domenico-ghirlandaio/portrait-of-giovanna-tornabuoni.jpg;https://www.wikiart.org/en/domenico-ghirlandaio/portrait-of-giovanna-tornabuoni;https://www.wikiart.org/en/domenico-ghirlandaio;no;17.442;57.244.153;-37.522.192;36.976.643;open;99.342;closed;15;22.57;27.452;436
768;Female;33;Post Renaissance Art;Realism;Albert Anker;Louise Anker;Asia;1874;https://use2-uploads0.wikiart.org/images/albert-anker/louise-anker-1874.jpg;https://www.wikiart.org/en/albert-anker/louise-anker-1874;https://www.wikiart.org/en/albert-anker;no;0.63;6.244.259;-5.599.981;4.119.642;open;99.978;closed;1;1.262;98.655;2
769;Female;25;Renaissance Art;Early Renaissance;Paolo Uccello;A Young Lady of Fashion;Australia;1464;https://use2-uploads7.wikiart.org/images/paolo-uccello/a-young-lady-of-fashion.jpg;https://www.wikiart.org/en/paolo-uccello/a-young-lady-of-fashion;https://www.wikiart.org/en/paolo-uccello;no;7.699;-0.12253103;-24.017.322;836.621;closed;193;closed;0;799;84.898;12.579
770;Female;34;Post Renaissance Art;Rococo;Antoine Pesne;Johanna Holstein Gottorp;Europe;1746;https://use2-uploads8.wikiart.org/images/antoine-pesne/johanna-holstein-gottorp.jpg;https://www.wikiart.org/en/antoine-pesne/johanna-holstein-gottorp;https://www.wikiart.org/en/antoine-pesne;no;122;13.505.008;-12.489.914;-15.577.601;open;99.908;closed;3;2.356;95.652;8
791;Female;41;Post Renaissance Art;Baroque;Bernardo Strozzi;Gamba Player;North America;1635;https://use2-uploads8.wikiart.org/images/bernardo-strozzi/gamba-player.jpg;https://www.wikiart.org/en/bernardo-strozzi/gamba-player;https://www.wikiart.org/en/bernardo-strozzi;no;289;11.286.137;-76.448.054;-9.676.282;open;99.66;closed;76;29;99.746;222
793;Male;44;Renaissance Art;Northern Renaissance;Hans Holbein the Younger;Portrait of Henry VIII, King of England;Europe;1535;https://use2-uploads6.wikiart.org/images/hans-holbein-the-younger/portrait-of-henry-viii-king-of-england.jpg;https://www.wikiart.org/en/hans-holbein-the-younger/portrait-of-henry-viii-king-of-england;https://www.wikiart.org/en/hans-holbein-the-younger;no;1.247;19.035.106;4.321.514;-37.899.372;open;100;closed;171;29;13.025;74
803;Female;52;Post Renaissance Art;Baroque;Annibale Carracci;The Laughing Youth;North America;1583;https://use2-uploads2.wikiart.org/images/annibale-carracci/the-laughing-youth-1583.jpg;https://www.wikiart.org/en/annibale-carracci/the-laughing-youth-1583;https://www.wikiart.org/en/annibale-carracci;yes;85.296;10.039.703;25.455.229;-3.469.808;closed;4.359;closed;0;99.642;21;6
804;Female;43;Renaissance Art;Northern Renaissance;Hans Memling;Portrait of an Old Woman;South America;1468-1470;https://use2-uploads3.wikiart.org/images/hans-memling/portrait-of-an-old-woman-1470.jpg;https://www.wikiart.org/en/hans-memling/portrait-of-an-old-woman-1470;https://www.wikiart.org/en/hans-memling;no;8.986;-25.000.207;-16.406.765;2.634.341;open;99.062;closed;0;2;99.997;0
808;Male;43;Post Renaissance Art;Neoclassicism;John Singleton Copley;Paul Revere;Europe;1768-1770;https://use2-uploads1.wikiart.org/images/john-singleton-copley/paul-revere-1770-1.jpg;https://www.wikiart.org/en/john-singleton-copley/paul-revere-1770-1;https://www.wikiart.org/en/john-singleton-copley;no;314;-9.739.158;-0.7107372;-24.665.815;open;85.371;closed;111;53;99.843;1
811;Female;33;Renaissance Art;High Renaissance;Bartolomeo Veneto;Portrait of a Lady in a Green Dress;Europe;1530;https://use2-uploads1.wikiart.org/images/bartolomeo-veneto/portrait-of-a-lady-in-a-green-dress-1530.jpg;https://www.wikiart.org/en/bartolomeo-veneto/portrait-of-a-lady-in-a-green-dress-1530;https://www.wikiart.org/en/bartolomeo-veneto;no;34;79.779.334;-795.552;2.212.148;open;99.795;closed;654;113;58.803;40.659
